Date,Site,Pop,Tray,Sample,Area,Length.mm
10/17/2014,Fidalgo,2H,1-4,51,212,31.12001541
10/17/2014,Fidalgo,2H,1-4,52,206,30.23926026
10/17/2014,Fidalgo,2H,1-4,53,118,17.32151801
10/17/2014,Fidalgo,2H,1-4,54,150,22.01887883
10/17/2014,Fidalgo,2H,1-4,55,137,20.110576
10/17/2014,Fidalgo,2H,1-4,56,196,28.771335
10/17/2014,Fidalgo,2H,1-4,57,178,26.12906954
10/17/2014,Fidalgo,2H,1-4,58,156,22.89963398
10/17/2014,Fidalgo,2H,1-4,59,163,23.92718166
10/17/2014,Fidalgo,2H,1-4,60,173,25.39510692
10/17/2014,Fidalgo,2H,1-4,61,158,23.19321903
10/17/2014,Fidalgo,2H,1-4,62,140,20.55095357
10/17/2014,Fidalgo,2H,1-4,63,211,30.97322289
10/17/2014,Fidalgo,2H,1-4,64,155,22.75284146
10/17/2014,Fidalgo,2H,1-4,65,130,19.08302832
10/17/2014,Fidalgo,2H,1-4,66,183,26.86303217
10/17/2014,Fidalgo,2H,1-4,67,161,23.63359661
10/17/2014,Fidalgo,2H,1-4,68,157,23.04642651
10/17/2014,Fidalgo,2H,1-4,69,146,21.43170873
10/17/2014,Fidalgo,2H,1-4,70,79,11.59660952
10/17/2014,Fidalgo,2H,1-4,71,141,20.6977461
10/17/2014,Fidalgo,2H,1-4,72,125,18.34906569
10/17/2014,Fidalgo,2H,1-4,73,214,31.41360046
10/17/2014,Fidalgo,2H,1-4,74,142,20.84453862
10/17/2014,Fidalgo,2H,1-4,75,155,22.75284146
10/17/2014,Fidalgo,2H,1-4,76,151,22.16567135
10/17/2014,Fidalgo,2H,1-4,77,181,26.56944712
10/17/2014,Fidalgo,2H,1-4,78,207,30.38605278
10/17/2014,Fidalgo,2H,1-4,79,184,27.0098247
10/17/2014,Fidalgo,2H,1-4,80,141,20.6977461
10/17/2014,Fidalgo,2H,1-4,81,179,26.27586207
10/17/2014,Fidalgo,2H,1-4,82,154,22.60604893
10/17/2014,Fidalgo,2H,1-4,83,134,19.67019842
10/17/2014,Fidalgo,2H,1-4,84,140,20.55095357
10/17/2014,Fidalgo,2H,1-4,85,153,22.45925641
10/17/2014,Fidalgo,2H,1-4,86,103,15.11963013
10/17/2014,Fidalgo,2H,5-8,1,203,28.04314721
10/17/2014,Fidalgo,2H,5-8,2,174,24.03698332
10/17/2014,Fidalgo,2H,5-8,3,147,20.3071066
10/17/2014,Fidalgo,2H,5-8,4,209,28.8720087
10/17/2014,Fidalgo,2H,5-8,5,158,21.82668601
10/17/2014,Fidalgo,2H,5-8,6,220,30.39158811
10/17/2014,Fidalgo,2H,5-8,7,207,28.59572154
10/17/2014,Fidalgo,2H,5-8,8,148,20.44525018
10/17/2014,Fidalgo,2H,5-8,9,160,22.10297317
10/17/2014,Fidalgo,2H,5-8,10,177,24.45141407
10/17/2014,Fidalgo,2H,5-8,11,163,22.51740392
10/17/2014,Fidalgo,2H,5-8,12,160,22.10297317
10/17/2014,Fidalgo,2H,5-8,13,150,20.72153735
10/17/2014,Fidalgo,2H,5-8,14,158,21.82668601
10/17/2014,Fidalgo,2H,5-8,15,148,20.44525018
10/17/2014,Fidalgo,2H,5-8,16,141,19.47824511
10/17/2014,Fidalgo,2H,5-8,17,148,20.44525018
10/17/2014,Fidalgo,2H,5-8,18,161,22.24111675
10/17/2014,Fidalgo,2H,5-8,19,243,33.5688905
10/17/2014,Fidalgo,2H,5-8,20,175,24.1751269
10/17/2014,Fidalgo,2H,5-8,21,131,18.09680928
10/17/2014,Fidalgo,2H,5-8,22,162,22.37926033
10/17/2014,Fidalgo,2H,5-8,23,148,20.44525018
10/17/2014,Fidalgo,2H,5-8,24,237,32.74002901
10/17/2014,Fidalgo,2H,5-8,25,153,21.13596809
10/17/2014,Fidalgo,2H,5-8,26,192,26.5235678
10/17/2014,Fidalgo,2H,5-8,27,208,28.73386512
10/17/2014,Fidalgo,2H,5-8,28,136,18.78752719
10/17/2014,Fidalgo,2H,5-8,29,181,25.0039884
10/17/2014,Fidalgo,2H,5-8,30,189,26.10913706
10/17/2014,Fidalgo,2H,5-8,31,192,26.5235678
10/17/2014,Fidalgo,2H,5-8,32,190,26.24728064
10/17/2014,Fidalgo,2H,5-8,33,128,17.68237854
10/17/2014,Fidalgo,2H,5-8,34,163,22.51740392
10/17/2014,Fidalgo,2H,5-8,35,188,25.97099347
10/17/2014,Fidalgo,2H,5-8,36,183,25.28027556
10/17/2014,Fidalgo,2H,5-8,37,185,25.55656273
10/17/2014,Fidalgo,2H,5-8,38,192,26.5235678
10/17/2014,Fidalgo,2H,5-8,39,182,25.14213198
10/17/2014,Fidalgo,2H,5-8,40,109,15.05765047
10/17/2014,Fidalgo,2H,5-8,41,205,28.31943437
10/17/2014,Fidalgo,2H,5-8,42,145,20.03081944
10/17/2014,Fidalgo,2H,5-8,43,158,21.82668601
10/17/2014,Fidalgo,2H,5-8,44,187,25.83284989
10/17/2014,Fidalgo,2H,5-8,45,157,21.68854242
10/17/2014,Fidalgo,2H,5-8,46,168,23.20812183
10/17/2014,Fidalgo,2H,5-8,47,154,21.27411168
10/17/2014,Fidalgo,2H,5-8,48,85,11.7422045
10/17/2014,Fidalgo,2H,5-8,49,180,24.86584482
10/17/2014,Fidalgo,2H,5-8,50,192,26.5235678
10/17/2014,Fidalgo,2H,5-8,51,125,17.26794779
10/17/2014,Fidalgo,2H,5-8,52,190,26.24728064
10/17/2014,Fidalgo,2H,5-8,53,208,28.73386512
10/17/2014,Fidalgo,2H,5-8,54,173,23.89883974
10/17/2014,Fidalgo,2H,5-8,55,196,27.07614213
10/17/2014,Fidalgo,2H,5-8,56,120,16.57722988
10/17/2014,Fidalgo,2H,5-8,57,172,23.76069616
10/17/2014,Fidalgo,2H,5-8,58,125,17.26794779
10/17/2014,Fidalgo,2H,5-8,59,188,25.97099347
10/17/2014,Fidalgo,2H,5-8,60,175,24.1751269
10/17/2014,Fidalgo,2H,5-8,61,159,21.96482959
10/17/2014,Fidalgo,2H,5-8,62,218,30.11530094
10/17/2014,Fidalgo,2H,5-8,63,144,19.89267585
10/17/2014,Fidalgo,2H,5-8,64,194,26.79985497
10/17/2014,Fidalgo,2H,5-8,65,173,23.89883974
10/17/2014,Fidalgo,2H,5-8,66,190,26.24728064
10/17/2014,Fidalgo,2H,5-8,67,145,20.03081944
10/17/2014,Fidalgo,2H,5-8,68,183,25.28027556
10/17/2014,Fidalgo,2H,5-8,69,215,29.7008702
10/17/2014,Fidalgo,2H,5-8,70,177,24.45141407
10/17/2014,Fidalgo,2H,5-8,71,162,22.37926033
10/17/2014,Fidalgo,2H,5-8,72,164,22.6555475
10/17/2014,Fidalgo,2H,5-8,73,197,27.21428572
10/17/2014,Fidalgo,2H,5-8,74,217,29.97715736
10/17/2014,Fidalgo,2H,5-8,75,154,21.27411168
10/17/2014,Fidalgo,2H,5-8,76,122,16.85351704
10/17/2014,Fidalgo,2H,5-8,77,161,22.24111675
10/17/2014,Fidalgo,2H,5-8,78,185,25.55656273
10/17/2014,Fidalgo,2H,5-8,79,173,23.89883974
10/17/2014,Fidalgo,2H,5-8,80,163,22.51740392
10/17/2014,Fidalgo,2H,5-8,81,194,26.79985497
10/17/2014,Fidalgo,2H,5-8,82,181,25.0039884
10/17/2014,Fidalgo,2H,5-8,83,127,17.54423495
10/17/2014,Fidalgo,2H,5-8,84,138,19.06381436
10/17/2014,Fidalgo,2H,5-8,85,164,22.6555475
10/17/2014,Fidalgo,2H,5-8,86,188,25.97099347
10/17/2014,Fidalgo,2H,5-8,87,208,28.73386512
10/17/2014,Fidalgo,2H,5-8,88,199,27.49057288
10/17/2014,Fidalgo,2H,5-8,89,199,27.49057288
10/17/2014,Fidalgo,2H,5-8,90,208,28.73386512
10/17/2014,Fidalgo,2H,5-8,91,154,21.27411168
10/17/2014,Fidalgo,2H,5-8,92,248,34.25960841
10/17/2014,Fidalgo,2H,5-8,93,158,21.82668601
10/17/2014,Fidalgo,2H,5-8,94,165,22.79369108
10/17/2014,Fidalgo,2H,5-8,95,169,23.34626541
10/17/2014,Fidalgo,2H,5-8,96,141,19.47824511
10/17/2014,Fidalgo,2H,5-8,97,160,22.10297317
10/17/2014,Fidalgo,2H,9-12,1,169,23.96315594
10/17/2014,Fidalgo,2H,9-12,2,160,22.68701154
10/17/2014,Fidalgo,2H,9-12,3,181,25.6646818
10/17/2014,Fidalgo,2H,9-12,4,152,21.55266096
10/17/2014,Fidalgo,2H,9-12,5,166,23.53777447
10/17/2014,Fidalgo,2H,9-12,6,207,29.35132118
10/17/2014,Fidalgo,2H,9-12,7,224,31.76181615
10/17/2014,Fidalgo,2H,9-12,8,205,29.06773353
10/17/2014,Fidalgo,2H,9-12,9,169,23.96315594
10/17/2014,Fidalgo,2H,9-12,10,236,33.46334202
10/17/2014,Fidalgo,2H,9-12,11,196,27.79158913
10/17/2014,Fidalgo,2H,9-12,12,202,28.64235207
10/17/2014,Fidalgo,2H,9-12,13,169,23.96315594
10/17/2014,Fidalgo,2H,9-12,14,152,21.55266096
10/17/2014,Fidalgo,2H,9-12,15,195,27.64979531
10/17/2014,Fidalgo,2H,9-12,16,164,23.25418683
10/17/2014,Fidalgo,2H,9-12,17,118,16.73167101
10/17/2014,Fidalgo,2H,9-12,18,157,22.26163007
10/17/2014,Fidalgo,2H,9-12,19,186,26.37365091
10/17/2014,Fidalgo,2H,9-12,20,144,20.41831038
10/17/2014,Fidalgo,2H,9-12,21,103,14.60476368
10/17/2014,Fidalgo,2H,9-12,22,244,34.5976926
10/17/2014,Fidalgo,2H,9-12,23,161,22.82880536
10/17/2014,Fidalgo,2H,9-12,24,119,16.87346483
10/17/2014,Fidalgo,2H,9-12,25,163,23.112393
10/17/2014,Fidalgo,2H,9-12,26,163,23.112393
10/17/2014,Fidalgo,2H,9-12,27,211,29.91849647
10/17/2014,Fidalgo,2H,9-12,28,149,21.12727949
10/17/2014,Fidalgo,2H,9-12,29,182,25.80647562
10/17/2014,Fidalgo,2H,9-12,30,166,23.53777447
10/17/2014,Fidalgo,2H,9-12,31,204,28.92593971
10/17/2014,Fidalgo,2H,9-12,32,139,19.70934127
10/17/2014,Fidalgo,2H,9-12,33,188,26.65723856
10/17/2014,Fidalgo,2H,9-12,34,197,27.93338296
10/17/2014,Fidalgo,2H,9-12,35,198,28.07517678
10/17/2014,Fidalgo,2H,9-12,36,220,31.19464086
10/17/2014,Fidalgo,2H,9-12,37,176,24.95571269
10/17/2014,Fidalgo,2H,9-12,38,176,24.95571269
10/17/2014,Fidalgo,2H,9-12,39,194,27.50800149
10/17/2014,Fidalgo,2H,9-12,40,208,29.493115
10/17/2014,Fidalgo,2H,9-12,41,162,22.97059918
10/17/2014,Fidalgo,2H,9-12,42,219,31.05284704
10/17/2014,Fidalgo,2H,9-12,43,180,25.52288798
10/17/2014,Fidalgo,2H,9-12,44,186,26.37365091
10/17/2014,Fidalgo,2H,9-12,45,171,24.24674358
10/17/2014,Fidalgo,2H,9-12,46,161,22.82880536
10/17/2014,Fidalgo,2H,9-12,47,156,22.11983625
10/17/2014,Fidalgo,2H,9-12,48,162,22.97059918
10/17/2014,Fidalgo,2H,9-12,49,190,26.9408262
10/17/2014,Fidalgo,2H,9-12,50,173,24.53033123
10/17/2014,Fidalgo,2H,9-12,51,287,40.69482695
10/17/2014,Fidalgo,2H,9-12,52,137,19.42575363
10/17/2014,Fidalgo,2H,9-12,53,121,17.15705248
10/17/2014,Fidalgo,2H,9-12,54,130,18.43319687
10/17/2014,Fidalgo,2H,9-12,55,178,25.23930034
10/17/2014,Fidalgo,2H,9-12,56,160,22.68701154
10/17/2014,Fidalgo,2H,9-12,57,160,22.68701154
10/17/2014,Fidalgo,2H,9-12,58,212,30.06029029
10/17/2014,Fidalgo,2H,9-12,59,211,29.91849647
10/17/2014,Fidalgo,2H,9-12,60,182,25.80647562
10/17/2014,Fidalgo,2H,9-12,61,199,28.2169706
10/17/2014,Fidalgo,2H,9-12,62,187,26.51544474
10/17/2014,Fidalgo,2H,9-12,63,148,20.98548567
10/17/2014,Fidalgo,2H,9-12,64,212,30.06029029
10/17/2014,Fidalgo,2H,9-12,65,141,19.99292892
10/17/2014,Fidalgo,2H,9-12,66,113,16.0227019
10/17/2014,Fidalgo,2H,9-12,67,184,26.09006327
10/17/2014,Fidalgo,2H,9-12,68,169,23.96315594
10/17/2014,Fidalgo,2H,9-12,69,136,19.28395981
10/17/2014,Fidalgo,2H,9-12,70,149,21.12727949
10/17/2014,Fidalgo,2H,9-12,71,141,19.99292892
10/17/2014,Fidalgo,2H,9-12,72,135,19.14216599
10/17/2014,Fidalgo,2H,9-12,73,172,24.3885374
10/17/2014,Fidalgo,2H,9-12,74,140,19.8511351
10/17/2014,Fidalgo,2H,9-12,75,148,20.98548567
10/17/2014,Fidalgo,2H,9-12,76,123,17.44064012
10/17/2014,Fidalgo,2H,9-12,77,169,23.96315594
10/17/2014,Fidalgo,2H,9-12,78,180,25.52288798
10/17/2014,Fidalgo,2H,9-12,79,192,27.22441385
10/17/2014,Fidalgo,2H,13-16,1,162,20.85907401
10/17/2014,Fidalgo,2H,13-16,2,215,27.68333897
10/17/2014,Fidalgo,2H,13-16,3,204,26.26698209
10/17/2014,Fidalgo,2H,13-16,4,252,32.44744846
10/17/2014,Fidalgo,2H,13-16,5,196,25.23690436
10/17/2014,Fidalgo,2H,13-16,6,207,26.65326124
10/17/2014,Fidalgo,2H,13-16,7,219,28.19837783
10/17/2014,Fidalgo,2H,13-16,8,186,23.9493072
10/17/2014,Fidalgo,2H,13-16,9,205,26.39574181
10/17/2014,Fidalgo,2H,13-16,10,210,27.03954039
10/17/2014,Fidalgo,2H,13-16,11,197,25.36566408
10/17/2014,Fidalgo,2H,13-16,12,205,26.39574181
10/17/2014,Fidalgo,2H,13-16,13,202,26.00946266
10/17/2014,Fidalgo,2H,13-16,14,211,27.1683001
10/17/2014,Fidalgo,2H,13-16,15,225,28.97093613
10/17/2014,Fidalgo,2H,13-16,16,192,24.7218655
10/17/2014,Fidalgo,2H,13-16,17,179,23.04798919
10/17/2014,Fidalgo,2H,13-16,18,300,38.62791484
10/17/2014,Fidalgo,2H,13-16,19,186,23.9493072
10/17/2014,Fidalgo,2H,13-16,20,167,21.50287259
10/17/2014,Fidalgo,2H,13-16,21,167,21.50287259
10/17/2014,Fidalgo,2H,13-16,22,160,20.60155458
10/17/2014,Fidalgo,2H,13-16,23,209,26.91078067
10/17/2014,Fidalgo,2H,13-16,24,176,22.66171004
10/17/2014,Fidalgo,2H,13-16,25,188,24.20682663
10/17/2014,Fidalgo,2H,13-16,26,190,24.46434606
10/17/2014,Fidalgo,2H,13-16,27,256,32.96248733
10/17/2014,Fidalgo,2H,13-16,28,187,24.07806692
10/17/2014,Fidalgo,2H,13-16,29,210,27.03954039
10/17/2014,Fidalgo,2H,13-16,30,215,27.68333897
10/17/2014,Fidalgo,2H,13-16,31,164,21.11659345
10/17/2014,Fidalgo,2H,13-16,32,221,28.45589726
10/17/2014,Fidalgo,2H,13-16,33,176,22.66171004
10/17/2014,Fidalgo,2H,13-16,34,206,26.52450152
10/17/2014,Fidalgo,2H,13-16,35,193,24.85062521
10/17/2014,Fidalgo,2H,13-16,36,166,21.37411288
10/17/2014,Fidalgo,2H,13-16,37,180,23.1767489
10/17/2014,Fidalgo,2H,13-16,38,268,34.50760392
10/17/2014,Fidalgo,2H,13-16,39,206,26.52450152
10/17/2014,Fidalgo,2H,13-16,40,197,25.36566408
10/17/2014,Fidalgo,2H,13-16,41,184,23.69178777
10/17/2014,Fidalgo,2H,13-16,42,247,31.80364988
10/17/2014,Fidalgo,2H,13-16,43,161,20.7303143
10/17/2014,Fidalgo,2H,13-16,44,204,26.26698209
10/17/2014,Fidalgo,2H,13-16,45,186,23.9493072
10/17/2014,Fidalgo,2H,13-16,46,183,23.56302805
10/17/2014,Fidalgo,2H,13-16,47,253,32.57620818
10/17/2014,Fidalgo,2H,13-16,48,190,24.46434606
10/17/2014,Fidalgo,2H,13-16,49,259,33.34876648
10/17/2014,Fidalgo,2H,13-16,50,201,25.88070294
10/17/2014,Fidalgo,2H,13-16,51,256,32.96248733
10/17/2014,Fidalgo,2H,13-16,52,174,22.40419061
10/17/2014,Fidalgo,2H,13-16,53,161,20.7303143
10/17/2014,Fidalgo,2H,13-16,54,211,27.1683001
10/17/2014,Fidalgo,2H,13-16,55,237,30.51605272
10/17/2014,Fidalgo,2H,13-16,56,239,30.77357215
10/17/2014,Fidalgo,2H,13-16,57,200,25.75194323
10/17/2014,Fidalgo,2H,13-16,58,231,29.74349443
10/17/2014,Fidalgo,2H,13-16,59,171,22.01791146
10/17/2014,Fidalgo,2H,13-16,60,150,19.31395742
10/17/2014,Fidalgo,2H,13-16,61,164,21.11659345
10/17/2014,Fidalgo,2H,13-16,62,207,26.65326124
10/17/2014,Fidalgo,2H,13-16,63,200,25.75194323
10/17/2014,Fidalgo,2H,13-16,64,175,22.53295032
10/17/2014,Fidalgo,2H,13-16,65,133,17.12504225
10/17/2014,Fidalgo,2H,13-16,66,157,20.21527543
10/17/2014,Fidalgo,2H,13-16,67,237,30.51605272
10/17/2014,Fidalgo,2H,13-16,68,232,29.87225414
10/17/2014,Fidalgo,2H,13-16,69,195,25.10814464
10/17/2014,Fidalgo,2H,13-16,70,173,22.27543089
10/17/2014,Fidalgo,2H,13-16,71,216,27.81209868
10/17/2014,Fidalgo,2H,13-16,72,181,23.30550862
10/17/2014,Fidalgo,2H,13-16,73,196,25.23690436
10/17/2014,Fidalgo,2H,13-16,74,210,27.03954039
10/17/2014,Fidalgo,2H,13-16,75,252,32.44744846
10/17/2014,Fidalgo,2H,13-16,76,138,17.76884083
10/17/2014,Fidalgo,2H,13-16,77,139,17.89760054
10/17/2014,Fidalgo,2H,13-16,78,155,19.957756
10/17/2014,Fidalgo,2H,13-16,79,145,18.67015884
10/17/2014,Fidalgo,2H,13-16,80,171,22.01791146
10/17/2014,Fidalgo,2H,13-16,81,187,24.07806692
10/17/2014,Fidalgo,2H,13-16,82,253,32.57620818
10/17/2014,Fidalgo,2H,13-16,83,218,28.06961812
10/17/2014,Fidalgo,2H,13-16,84,193,24.85062521
10/17/2014,Fidalgo,2H,13-16,85,150,19.31395742
10/17/2014,Fidalgo,2H,13-16,86,195,25.10814464
10/17/2014,Fidalgo,2H,13-16,87,125,16.09496452
10/17/2014,Fidalgo,2H,13-16,88,160,20.60155458
10/17/2014,Fidalgo,2H,13-16,89,173,22.27543089
10/17/2014,Fidalgo,2H,13-16,90,195,25.10814464
10/17/2014,Fidalgo,2H,13-16,91,178,22.91922947
10/17/2014,Fidalgo,2H,13-16,92,158,20.34403515
10/17/2014,Fidalgo,2H,13-16,93,185,23.82054748
10/17/2014,Fidalgo,2H,13-16,94,173,22.27543089
10/17/2014,Fidalgo,2H,13-16,95,141,18.15511997
10/17/2014,Fidalgo,2S,1-4,1,196,28.48598131
10/17/2014,Fidalgo,2S,1-4,2,262,38.0781995
10/17/2014,Fidalgo,2S,1-4,3,193,28.04997139
10/17/2014,Fidalgo,2S,1-4,4,215,31.24737745
10/17/2014,Fidalgo,2S,1-4,5,217,31.53805073
10/17/2014,Fidalgo,2S,1-4,6,164,23.83520885
10/17/2014,Fidalgo,2S,1-4,7,176,25.57924852
10/17/2014,Fidalgo,2S,1-4,8,264,38.36887278
10/17/2014,Fidalgo,2S,1-4,9,215,31.24737745
10/17/2014,Fidalgo,2S,1-4,10,192,27.90463475
10/17/2014,Fidalgo,2S,1-4,11,226,32.84608049
10/17/2014,Fidalgo,2S,1-4,12,220,31.97406065
10/17/2014,Fidalgo,2S,1-4,13,196,28.48598131
10/17/2014,Fidalgo,2S,1-4,14,161,23.39919893
10/17/2014,Fidalgo,2S,1-4,15,230,33.42742704
10/17/2014,Fidalgo,2S,1-4,16,256,37.20617967
10/17/2014,Fidalgo,2S,1-4,17,256,37.20617967
10/17/2014,Fidalgo,2S,1-4,18,151,21.94583254
10/17/2014,Fidalgo,2S,1-4,19,187,27.17795155
10/17/2014,Fidalgo,2S,1-4,20,202,29.35800114
10/17/2014,Fidalgo,2S,1-4,21,175,25.43391188
10/17/2014,Fidalgo,2S,1-4,22,209,30.37535762
10/17/2014,Fidalgo,2S,1-4,23,197,28.63131795
10/17/2014,Fidalgo,2S,1-4,24,260,37.78752622
10/17/2014,Fidalgo,2S,1-4,25,215,31.24737745
10/17/2014,Fidalgo,2S,1-4,26,189,27.46862483
10/17/2014,Fidalgo,2S,1-4,27,218,31.68338737
10/17/2014,Fidalgo,2S,1-4,28,202,29.35800114
10/17/2014,Fidalgo,2S,1-4,29,186,27.03261491
10/17/2014,Fidalgo,2S,1-4,30,148,21.50982262
10/17/2014,Fidalgo,2S,1-4,31,154,22.38184246
10/17/2014,Fidalgo,2S,1-4,32,241,35.02613008
10/17/2014,Fidalgo,2S,1-4,33,155,22.5271791
10/17/2014,Fidalgo,2S,1-4,34,170,24.70722869
10/17/2014,Fidalgo,2S,1-4,35,124,18.02174328
10/17/2014,Fidalgo,2S,1-4,36,209,30.37535762
10/17/2014,Fidalgo,2S,1-4,37,241,35.02613008
10/17/2014,Fidalgo,2S,1-4,38,136,19.76578295
10/17/2014,Fidalgo,2S,1-4,39,169,24.56189205
10/17/2014,Fidalgo,2S,1-4,40,180,26.16059508
10/17/2014,Fidalgo,2S,1-4,41,173,25.1432386
10/17/2014,Fidalgo,2S,1-4,42,195,28.34064467
10/17/2014,Fidalgo,2S,1-4,43,220,31.97406065
10/17/2014,Fidalgo,2S,1-4,44,187,27.17795155
10/17/2014,Fidalgo,2S,1-4,45,179,26.01525844
10/17/2014,Fidalgo,2S,1-4,46,181,26.30593172
10/17/2014,Fidalgo,2S,1-4,47,213,30.95670418
10/17/2014,Fidalgo,2S,1-4,48,195,28.34064467
10/17/2014,Fidalgo,2S,1-4,49,205,29.79401106
10/17/2014,Fidalgo,2S,1-4,50,255,37.06084303
10/17/2014,Fidalgo,2S,1-4,51,237,34.44478352
10/17/2014,Fidalgo,2S,1-4,52,185,26.88727828
10/17/2014,Fidalgo,2S,1-4,53,180,26.16059508
10/17/2014,Fidalgo,2S,1-4,54,173,25.1432386
10/17/2014,Fidalgo,2S,1-4,55,192,27.90463475
10/17/2014,Fidalgo,2S,1-4,56,238,34.59012016
10/17/2014,Fidalgo,2S,1-4,57,196,28.48598131
10/17/2014,Fidalgo,2S,1-4,58,222,32.26473393
10/17/2014,Fidalgo,2S,1-4,59,181,26.30593172
10/17/2014,Fidalgo,2S,1-4,60,237,34.44478352
10/17/2014,Fidalgo,2S,1-4,61,164,23.83520885
10/17/2014,Fidalgo,2S,1-4,62,188,27.32328819
10/17/2014,Fidalgo,2S,1-4,63,172,24.99790196
10/17/2014,Fidalgo,2S,1-4,64,166,24.12588213
10/17/2014,Fidalgo,2S,1-4,65,175,25.43391188
10/17/2014,Fidalgo,2S,1-4,66,212,30.81136754
10/17/2014,Fidalgo,2S,1-4,67,185,26.88727828
10/17/2014,Fidalgo,2S,1-4,68,239,34.7354568
10/17/2014,Fidalgo,2S,1-4,69,184,26.74194164
10/17/2014,Fidalgo,2S,1-4,70,258,37.49685295
10/17/2014,Fidalgo,2S,1-4,71,277,40.25824909
10/17/2014,Fidalgo,2S,1-4,72,196,28.48598131
10/17/2014,Fidalgo,2S,1-4,73,241,35.02613008
10/17/2014,Fidalgo,2S,1-4,74,215,31.24737745
10/17/2014,Fidalgo,2S,1-4,75,205,29.79401106
10/17/2014,Fidalgo,2S,1-4,76,210,30.52069426
10/17/2014,Fidalgo,2S,1-4,77,208,30.23002098
10/17/2014,Fidalgo,2S,1-4,78,362,52.61186344
10/17/2014,Fidalgo,2S,1-4,79,197,28.63131795
10/17/2014,Fidalgo,2S,1-4,80,171,24.85256532
10/17/2014,Fidalgo,2S,1-4,81,259,37.64218959
10/17/2014,Fidalgo,2S,1-4,82,149,21.65515926
10/17/2014,Fidalgo,2S,1-4,83,191,27.75929811
10/17/2014,Fidalgo,2S,1-4,84,164,23.83520885
10/17/2014,Fidalgo,2S,1-4,85,264,38.36887278
10/17/2014,Fidalgo,2S,1-4,86,226,32.84608049
10/17/2014,Fidalgo,2S,1-4,87,154,22.38184246
10/17/2014,Fidalgo,2S,1-4,88,202,29.35800114
10/17/2014,Fidalgo,2S,1-4,89,172,24.99790196
10/17/2014,Fidalgo,2S,5-8,1,308,43.83563691
10/17/2014,Fidalgo,2S,5-8,2,300,42.69704894
10/17/2014,Fidalgo,2S,5-8,3,200,28.46469929
10/17/2014,Fidalgo,2S,5-8,4,207,29.46096377
10/17/2014,Fidalgo,2S,5-8,5,246,35.01158013
10/17/2014,Fidalgo,2S,5-8,6,197,28.0377288
10/17/2014,Fidalgo,2S,5-8,7,167,23.76802391
10/17/2014,Fidalgo,2S,5-8,8,215,30.59955174
10/17/2014,Fidalgo,2S,5-8,9,185,26.32984684
10/17/2014,Fidalgo,2S,5-8,10,198,28.1800523
10/17/2014,Fidalgo,2S,5-8,11,190,27.04146433
10/17/2014,Fidalgo,2S,5-8,12,173,24.62196489
10/17/2014,Fidalgo,2S,5-8,13,254,36.1501681
10/17/2014,Fidalgo,2S,5-8,14,226,32.1651102
10/17/2014,Fidalgo,2S,5-8,15,182,25.90287635
10/17/2014,Fidalgo,2S,5-8,16,245,34.86925663
10/17/2014,Fidalgo,2S,5-8,17,143,20.35225999
10/17/2014,Fidalgo,2S,5-8,18,135,19.21367202
10/17/2014,Fidalgo,2S,5-8,19,200,28.46469929
10/17/2014,Fidalgo,2S,5-8,20,148,21.06387748
10/17/2014,Fidalgo,2S,5-8,21,226,32.1651102
10/17/2014,Fidalgo,2S,5-8,22,235,33.44602167
10/17/2014,Fidalgo,2S,5-8,23,235,33.44602167
10/17/2014,Fidalgo,2S,5-8,24,223,31.73813971
10/17/2014,Fidalgo,2S,5-8,25,261,37.14643257
10/17/2014,Fidalgo,2S,5-8,26,249,35.43855062
10/17/2014,Fidalgo,2S,5-8,27,198,28.1800523
10/17/2014,Fidalgo,2S,5-8,28,265,37.71572656
10/17/2014,Fidalgo,2S,5-8,29,242,34.44228614
10/17/2014,Fidalgo,2S,5-8,30,216,30.74187523
10/17/2014,Fidalgo,2S,5-8,31,193,27.46843482
10/17/2014,Fidalgo,2S,5-8,32,208,29.60328726
10/17/2014,Fidalgo,2S,5-8,33,235,33.44602167
10/17/2014,Fidalgo,2S,5-8,34,218,31.02652223
10/17/2014,Fidalgo,2S,5-8,35,238,33.87299216
10/17/2014,Fidalgo,2S,5-8,36,215,30.59955174
10/17/2014,Fidalgo,2S,5-8,37,156,22.20246545
10/17/2014,Fidalgo,2S,5-8,38,233,33.16137467
10/17/2014,Fidalgo,2S,5-8,39,197,28.0377288
10/17/2014,Fidalgo,2S,5-8,40,230,32.73440418
10/17/2014,Fidalgo,2S,5-8,41,204,29.03399328
10/17/2014,Fidalgo,2S,5-8,42,175,24.90661188
10/17/2014,Fidalgo,2S,5-8,43,248,35.29622712
10/17/2014,Fidalgo,2S,5-8,44,234,33.30369817
10/17/2014,Fidalgo,2S,5-8,45,245,34.86925663
10/17/2014,Fidalgo,2S,5-8,46,271,38.56966754
10/17/2014,Fidalgo,2S,5-8,47,240,34.15763915
10/17/2014,Fidalgo,2S,5-8,48,172,24.47964139
10/17/2014,Fidalgo,2S,5-8,49,223,31.73813971
10/17/2014,Fidalgo,2S,5-8,50,230,32.73440418
10/17/2014,Fidalgo,2S,5-8,51,255,36.2924916
10/17/2014,Fidalgo,2S,5-8,52,223,31.73813971
10/17/2014,Fidalgo,2S,5-8,53,255,36.2924916
10/17/2014,Fidalgo,2S,5-8,54,254,36.1501681
